Section,Subsection,LINK,SNO,FirstLine
পূজা,,RabindranathTagore_Songs_Puja#৮৬--শুধু-কি-তার-বেঁধেই-তোর-কাজ-ফুরাবে,৮৬,শুধু কি তার বেঁধেই তোর কাজ ফুরাবে
পূজা,,RabindranathTagore_Songs_Puja#৮৭--আমারে-তুমি-কিসের-ছলে-পাঠাবে-দূরে,৮৭,আমারে তুমি কিসের ছলে পাঠাবে দূরে
পূজা,,RabindranathTagore_Songs_Puja#৮৮--সভায়-তোমার-থাকি-সবার-শাসনে,৮৮,সভায় তোমার থাকি সবার শাসনে
পূজা,,RabindranathTagore_Songs_Puja#৮৯--তোমার-প্রেমে-ধন্য-কর-যারে-সত্য-করে-পায়-সে-আপনারে,৮৯,তোমার প্রেমে ধন্য কর যারে সত্য ক’রে পায় সে আপনারে॥
পূজা,,RabindranathTagore_Songs_Puja#৯০--লুকিয়ে-আস-আঁধার-রাতে-তুমি-আমার-বন্ধু,৯০,লুকিয়ে আস আঁধার রাতে তুমি আমার বন্ধু
পূজা,,RabindranathTagore_Songs_Puja#৯১--তুমি-কি-এসেছ-মোর-দ্বারে,৯১,তুমি কি এসেছ মোর দ্বারে
পূজা,,RabindranathTagore_Songs_Puja#৯২--আজ-আলোকের-এই-ঝর্ণাধারায়-ধুইয়ে-দাও,৯২,আজ আলোকের এই ঝর্ণাধারায় ধুইয়ে দাও
পূজা,,RabindranathTagore_Songs_Puja#৯৩--এ-অন্ধকার-ডুবাও-তোমার-অতল-অন্ধকারে,৯৩,এ অন্ধকার ডুবাও তোমার অতল অন্ধকারে
পূজা,,RabindranathTagore_Songs_Puja#৯৪--ধায়-যেন-মোর-সকল-ভালোবাসা,৯৪,ধায় যেন মোর সকল ভালোবাসা
পূজা,,RabindranathTagore_Songs_Puja#৯৫--জীবন-যখন-শুকায়ে-যায়-করুণাধারায়-এসো,৯৫,জীবন যখন শুকায়ে যায় করুণাধারায় এসো
পূজা,,RabindranathTagore_Songs_Puja#৯৬--পাত্রখানা-যায়-যদি-যাক-ভেঙেচুরে,৯৬,পাত্রখানা যায় যদি যাক ভেঙেচুরে
পূজা,,RabindranathTagore_Songs_Puja#৯৭--গাব-তোমার-সুরে-দাও-সে-বীণাযন্ত্র,৯৭,গাব তোমার সুরে দাও সে বীণাযন্ত্র
পূজা,,RabindranathTagore_Songs_Puja#৯৮--শ্রাবণের-ধারার-মতো-পড়ুক-ঝরে-পড়ুক-ঝরে,৯৮,শ্রাবণের ধারার মতো পড়ুক ঝরে পড়ুক ঝরে
পূজা,,RabindranathTagore_Songs_Puja#৯৯--বাজাও-আমারে-বাজাও,৯৯,বাজাও আমারে বাজাও
পূজা,,RabindranathTagore_Songs_Puja#১০০--তুমি-যত-ভার-দিয়েছ-সে-ভার-করিয়া-দিয়েছ-সোজা,১০০,তুমি যত ভার দিয়েছ সে ভার করিয়া দিয়েছ সোজা
পূজা,,RabindranathTagore_Songs_Puja#১০১--দাঁড়াও-আমার-আঁখির-আগে,১০১,দাঁড়াও আমার আঁখির আগে
পূজা,,RabindranathTagore_Songs_Puja#১০২--যদি-এ-আমার-হৃদয়দুয়ার-বন্ধ-রহে-গো-কভু,১০২,যদি এ আমার হৃদয়দুয়ার বন্ধ রহে গো কভু
পূজা,,RabindranathTagore_Songs_Puja#১০৩--তোমারি-রাগিণী-জীবনকুঞ্জে-বাজে-যেন-সদা-বাজে-গো,১০৩,তোমারি রাগিণী জীবনকুঞ্জে বাজে যেন সদা বাজে গো
পূজা,,RabindranathTagore_Songs_Puja#১০৪--চরণ-ধরিতে-দিয়ো-গো-আমারে-নিয়ো-না-নিয়ো-না-সরায়ে,১০৪,চরণ ধরিতে দিয়ো গো আমারে নিয়ো না নিয়ো না সরায়ে
পূজা,,RabindranathTagore_Songs_Puja#১০৫--তোমারি-নাম-বলব-নানা-ছলে,১০৫,তোমারি নাম বলব নানা ছলে
পূজা,,RabindranathTagore_Songs_Puja#১০৬--আমার-এ-ঘরে-আপনার-করে-গৃহদীপখানি-জ্বালো-হে,১০৬,আমার এ ঘরে আপনার করে গৃহদীপখানি জ্বালো হে
পূজা,,RabindranathTagore_Songs_Puja#১০৭--সংসারে-তুমি-রাখিলে-মোরে-যে-ঘরে,১০৭,সংসারে তুমি রাখিলে মোরে যে ঘরে
পূজা,,RabindranathTagore_Songs_Puja#১০৮--আমার-মুখের-কথা-তোমার-নাম-দিয়ে-দাও-ধুয়ে,১০৮,আমার মুখের কথা তোমার নাম দিয়ে দাও ধুয়ে
পূজা,,RabindranathTagore_Songs_Puja#১০৯--প্রাণ-ভরিয়ে-তৃষা-হরিয়ে,১০৯,প্রাণ ভরিয়ে তৃষা হরিয়ে
পূজা,,RabindranathTagore_Songs_Puja#১১০--বল-দাও-মোরে-বল-দাও-প্রাণে-দাও-মোর-শকতি,১১০,বল দাও মোরে বল দাও প্রাণে দাও মোর শকতি
পূজা,,RabindranathTagore_Songs_Puja#১১১--অন্তর-মম-বিকশিত-করো-অন্তরতর-হে,১১১,অন্তর মম বিকশিত করো অন্তরতর হে
পূজা,,RabindranathTagore_Songs_Puja#১১২--আমার-বিচার-তুমি-করো-তব-আপন-করে,১১২,আমার বিচার তুমি করো তব আপন করে
